Country,POP_2022
AGO,"35,027,343"
BDI,"12,624,840"
BEN,"12,784,726"
BFA,"22,102,838"
BWA,"2,441,162"
CAF,"5,016,678"
CIV,"27,742,298"
CMR,"27,911,548"
COD,"95,240,792"
COG,"5,797,805"
COM,"907,419"
CPV,"567,678"
DJI,"1,016,097"
DZA,"45,350,148"
EGY,"106,156,692"
ETH,"120,812,698"
GAB,"2,331,533"
GHA,"32,395,450"
GIN,"13,865,691"
GMB,"2,558,482"
GNB,"2,063,367"
GNQ,"1,496,662"
KEN,"56,215,221"
LBR,"5,305,117"
LBY,"7,040,745"
LSO,"2,175,699"
MAR,"37,772,756"
MDG,"29,178,077"
MLI,"21,473,764"
MOZ,"33,089,461"
MRT,"4,901,981"
MUS,"1,274,727"
MWI,"20,180,839"
NAM,"2,633,874"
NER,"26,083,660"
NGA,"216,746,934"
RWA,"13,600,464"
SDN,"45,992,020"
SEN,"17,653,671"
SLE,"8,306,436"
SOM,"16,841,795"
SSD,"11,618,511"
STP,"227,679"
SWZ,"1,184,817"
SYC,"99,426"
TCD,"17,413,580"
TGO,"8,680,837"
TUN,"12,046,656"
TZA,"63,298,550"
UGA,"48,432,863"
ZAF,"60,756,135"
ZMB,"19,470,234"
ZWE,"15,331,428"
